foodbank_id,foodbank_name,location,sentiment,fraud,inventory_size,received_food_qty,delivered_food_qty
FB001,Feed India,Mumbai,"Food was delivered late, but safety measures were adequate",Yes,2889,138,57
FB001,Feed India,Mumbai,"Food safety could be improved, but delivery is on time",Yes,3293,150,94
FB001,Feed India,Mumbai,"Food safety standards are usually met, but occasional delays in delivery",Yes,2571,118,58
FB001,Feed India,Mumbai,"Food arrived on time, but cleanliness standards need improvement",Yes,3030,157,102
FB001,Feed India,Mumbai,"Food delivered late occasionally, but maintained at proper temperatures",Yes,4262,132,62
FB001,Feed India,Mumbai,"Food was delivered late, but safety measures were adequate",Yes,1135,92,67
FB001,Feed India,Mumbai,"Food safety is a priority, but delivery delays occasionally occur",Yes,1287,57,50
FB001,Feed India,Mumbai,"Timely delivery, but some concerns with food safety measures",Yes,2345,96,57
FB001,Feed India,Mumbai,"Food was delivered late, but safety measures were adequate",Yes,2725,196,55
FB001,Feed India,Mumbai,"Timely delivery, but food safety protocols were not fully followed",Yes,2855,188,60
FB001,Feed India,Mumbai,"Food safety standards are usually met, but occasional delays in delivery",Yes,4070,64,51
FB001,Feed India,Mumbai,"Food safety standards are usually met, but occasional delays in delivery",Yes,1833,127,127
FB001,Feed India,Mumbai,"Occasional delays in food delivery, but food is stored safely",Yes,3877,165,119
FB001,Feed India,Mumbai,"Food items are safe for consumption, consistently delivered on time",Yes,4444,177,166
FB001,Feed India,Mumbai,"Occasional delays in food delivery, but food is stored safely",Yes,2155,166,102
FB001,Feed India,Mumbai,"Food quality and safety are good, but delays in delivery need attention",Yes,3181,136,51
FB001,Feed India,Mumbai,"Timely delivery, but some concerns with food safety measures",Yes,1557,94,77
FB001,Feed India,Mumbai,"Food safety is a priority, but delivery delays occasionally occur",Yes,2663,164,117
FB001,Feed India,Mumbai,"Food arrived on time, but cleanliness standards need improvement",Yes,1293,194,56
FB001,Feed India,Mumbai,"Food quality is good, but there were slight delays in delivery",Yes,3430,118,66
FB001,Feed India,Mumbai,"Food was delivered late, but maintained proper hygiene throughout",Yes,3906,123,83
FB001,Feed India,Mumbai,"Food delivered late occasionally, but maintained at proper temperatures",Yes,2348,167,84
FB001,Feed India,Mumbai,"Occasional delays in food delivery, but food is stored safely",Yes,1185,97,85
