institute_id,institute_name,sentiment
ORP001,Sunshine Orphanage,"Well-maintained, frequent attention to cleanliness"
ORP001,Sunshine Orphanage,"Clean environment, good hygiene standards"
ORP001,Sunshine Orphanage,"Satisfactory upkeep, staff responsive to issues"
ORP002,Little Angels Home,"Adequate maintenance, minor improvements needed"
ORP002,Little Angels Home,"Generally clean, but occasional lapses in hygiene"
ORP002,Little Angels Home,"Regular maintenance checks, but more attention needed in common areas"
ORP002,Little Angels Home,"Unhygienic kitchen area, frequent complaints from residents"
ORP002,Little Angels Home,"Delayed response to maintenance issues, cleanliness standards have dropped"
ORP002,Little Angels Home,"Poor hygiene in common areas, staff not attentive to issues"
ORP003,Children's Haven,"Impressive upkeep, regular maintenance checks"
ORP003,Children's Haven,"Well-maintained, cleanliness is top-notch"
ORP003,Children's Haven,"Excellent overall, no major issues in maintenance"
ORP004,Grace Children's Home,"Well-kept, some areas require more frequent cleaning"
ORP004,Grace Children's Home,"Clean, but occasional delays in routine maintenance"
ORP004,Grace Children's Home,"Good overall maintenance, minor areas for improvement"
ORP005,Blessed Children Home,"Satisfactory maintenance, no major issues"
ORP005,Blessed Children Home,"Clean and organized, responsive to maintenance requests"
ORP005,Blessed Children Home,"Well-kept premises, no significant concerns"
ORP006,Hope Orphanage,"Excellent maintenance, responsive staff"
ORP006,Hope Orphanage,"Very clean and well-organized, no issues reported"
ORP006,Hope Orphanage,"High standards of cleanliness, regular maintenance checks"
ORP007,Caring Hearts Home,"Well-maintained, occasional delays in response"
ORP007,Caring Hearts Home,"Clean and well-kept, minor delays in routine cleaning"
ORP007,Caring Hearts Home,"Satisfactory maintenance, prompt response to issues"
ORP008,Bright Futures Home,"Satisfactory, some improvements in facilities required"
ORP008,Bright Futures Home,"Unclean common areas, facilities often neglected"
ORP008,Bright Futures Home,"Frequent maintenance issues, slow response from staff"
ORP008,Bright Futures Home,"Poor hygiene standards, lack of regular cleaning"
ORP008,Bright Futures Home,"Facilities in disrepair, numerous complaints from residents"
ORP009,Safe Haven,"Clean and orderly, well-maintained premises"
ORP009,Safe Haven,"Excellent cleanliness, very organized"
ORP009,Safe Haven,"Well-kept, staff responsive to maintenance requests"
ORP010,New Beginnings Home,"Very clean, regular updates to infrastructure"
ORP010,New Beginnings Home,"High standards of cleanliness, responsive staff"
ORP010,New Beginnings Home,"Clean and well-organized, no major concerns"
